model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gemini/gemini-2.5-flash,119,1,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,119,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,119,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,11,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,11,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,11,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,120,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,120,2,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,120,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,122,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,122,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,122,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,123,1,nlsy97,NO DECISION,0.0,True,1
gemini/gemini-2.5-flash,123,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,123,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,124,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,124,2,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,124,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,125,1,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,125,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,125,3,nlsy97,YES,65.0,False,6
gemini/gemini-2.5-flash,126,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,126,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,126,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,127,1,nlsy97,YES,65.0,False,6
gemini/gemini-2.5-flash,127,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,127,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,128,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,128,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,128,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,12,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,12,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,12,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,132,1,nlsy97,NO,75.0,True,6
gemini/gemini-2.5-flash,132,2,nlsy97,NO,75.0,True,6
gemini/gemini-2.5-flash,132,3,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,135,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,135,2,nlsy97,NO,80.0,False,6
gemini/gemini-2.5-flash,135,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,136,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,136,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,136,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,137,1,nlsy97,NO,85.0,False,6
gemini/gemini-2.5-flash,137,2,nlsy97,NO,90.0,False,6
gemini/gemini-2.5-flash,137,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,139,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,139,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,139,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,13,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,13,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,13,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,140,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,140,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,140,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,141,1,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,141,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,141,3,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,142,1,nlsy97,NO,75.0,True,6
gemini/gemini-2.5-flash,142,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,142,3,nlsy97,YES,60.0,True,6
gemini/gemini-2.5-flash,143,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,143,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,143,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,144,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,144,2,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,144,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,145,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,145,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,145,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,146,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,146,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,146,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,148,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,148,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,148,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,14,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,14,2,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,14,3,nlsy97,NO,60.0,True,6
gemini/gemini-2.5-flash,150,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,150,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,150,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,152,1,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,152,2,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,152,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,153,1,nlsy97,NO DECISION,0.0,False,4
gemini/gemini-2.5-flash,153,2,nlsy97,NO DECISION,0.0,False,3
gemini/gemini-2.5-flash,153,3,nlsy97,NO DECISION,0.0,False,2
gemini/gemini-2.5-flash,155,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,155,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,155,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,156,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,156,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,156,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,158,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,158,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,158,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,159,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,159,2,nlsy97,NO,80.0,False,6
gemini/gemini-2.5-flash,159,3,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,15,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,15,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,15,3,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,161,1,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,161,2,nlsy97,YES,65.0,False,6
gemini/gemini-2.5-flash,161,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,162,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,162,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,162,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,163,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,163,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,163,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,164,1,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,164,2,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,164,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,165,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,165,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,165,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,166,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,166,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,166,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,169,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,169,2,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,169,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,16,1,nlsy97,NO DECISION,0.0,False,4
gemini/gemini-2.5-flash,16,2,nlsy97,NO DECISION,0.0,False,3
gemini/gemini-2.5-flash,16,3,nlsy97,NO DECISION,0.0,False,3
gemini/gemini-2.5-flash,170,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,170,2,nlsy97,YES,65.0,True,6
gemini/gemini-2.5-flash,170,3,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,172,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,172,2,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,172,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,173,1,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,173,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,173,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,174,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,174,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,174,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,177,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,177,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,177,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,17,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,17,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,17,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,182,1,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,182,2,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,182,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,184,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,186,1,nlsy97,NO,60.0,False,6
gemini/gemini-2.5-flash,186,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,186,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,187,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,187,2,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,187,3,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,189,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,189,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,189,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,18,1,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,18,2,nlsy97,NO,78.0,False,6
gemini/gemini-2.5-flash,18,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,190,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,190,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,190,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,191,1,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,191,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,191,3,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,194,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,194,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,194,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,195,1,nlsy97,YES,90.0,False,6
gemini/gemini-2.5-flash,195,2,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,195,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,197,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,197,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,197,3,nlsy97,YES,90.0,False,6
gemini/gemini-2.5-flash,198,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,198,2,nlsy97,NO DECISION,0.0,False,6
gemini/gemini-2.5-flash,198,3,nlsy97,NO DECISION,0.0,False,5
gemini/gemini-2.5-flash,19,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,19,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,19,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,1,1,nlsy97,NO,75.0,False,2
gemini/gemini-2.5-flash,1,2,nlsy97,NO,70.0,False,3
gemini/gemini-2.5-flash,1,3,nlsy97,NO,70.0,False,3
gemini/gemini-2.5-flash,20,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,20,2,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,20,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,21,1,nlsy97,YES,75.0,True,3
gemini/gemini-2.5-flash,21,2,nlsy97,UNKNOWN,75.0,True,4
gemini/gemini-2.5-flash,21,3,nlsy97,YES,75.0,True,4
gemini/gemini-2.5-flash,22,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,22,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,22,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,23,1,nlsy97,NO,70.0,True,5
gemini/gemini-2.5-flash,23,2,nlsy97,UNKNOWN,75.0,True,5
gemini/gemini-2.5-flash,23,3,nlsy97,NO,75.0,True,6
gemini/gemini-2.5-flash,24,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,24,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,24,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,25,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,25,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,25,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,26,1,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,26,2,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,26,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,27,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,27,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,27,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,28,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,28,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,28,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,29,1,nlsy97,NO,75.0,False,2
gemini/gemini-2.5-flash,29,2,nlsy97,NO,90.0,False,2
gemini/gemini-2.5-flash,29,3,nlsy97,NO,90.0,False,2
gemini/gemini-2.5-flash,2,1,nlsy97,YES,65.0,True,4
gemini/gemini-2.5-flash,2,2,nlsy97,NO,65.0,True,4
gemini/gemini-2.5-flash,2,3,nlsy97,NO,70.0,True,5
gemini/gemini-2.5-flash,30,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,30,2,nlsy97,YES,70.0,True,6
gemini/gemini-2.5-flash,30,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,31,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,31,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,31,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,32,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,32,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,32,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,33,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,33,2,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,33,3,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,34,1,nlsy97,NO DECISION,0.0,True,1
gemini/gemini-2.5-flash,34,2,nlsy97,NO DECISION,0.0,True,1
gemini/gemini-2.5-flash,34,3,nlsy97,NO DECISION,0.0,True,1
gemini/gemini-2.5-flash,35,1,nlsy97,NO DECISION,0.0,True,4
gemini/gemini-2.5-flash,35,2,nlsy97,NO DECISION,0.0,True,4
gemini/gemini-2.5-flash,35,3,nlsy97,NO DECISION,0.0,True,4
gemini/gemini-2.5-flash,36,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,36,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,36,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,37,1,nlsy97,YES,70.0,False,2
gemini/gemini-2.5-flash,37,2,nlsy97,YES,70.0,False,2
gemini/gemini-2.5-flash,37,3,nlsy97,YES,75.0,False,2
gemini/gemini-2.5-flash,38,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,38,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,38,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,39,1,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,39,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,39,3,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,3,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,3,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,3,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,40,1,nlsy97,NO,80.0,False,6
gemini/gemini-2.5-flash,40,2,nlsy97,NO,78.0,False,6
gemini/gemini-2.5-flash,40,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,41,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,41,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,41,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,42,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,42,2,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,42,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,43,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,43,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,43,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,44,1,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,44,2,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,44,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,45,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,45,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,45,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,46,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,46,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,46,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,47,1,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,47,2,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,47,3,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,48,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,48,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,48,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,49,1,nlsy97,NO DECISION,0.0,True,3
gemini/gemini-2.5-flash,49,2,nlsy97,NO DECISION,0.0,True,2
gemini/gemini-2.5-flash,49,3,nlsy97,NO DECISION,0.0,True,2
gemini/gemini-2.5-flash,4,1,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,4,2,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,4,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,50,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,50,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,50,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,51,1,nlsy97,NO,80.0,False,6
gemini/gemini-2.5-flash,51,2,nlsy97,NO,70.0,False,6
gemini/gemini-2.5-flash,51,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,52,1,nlsy97,YES,75.0,True,3
gemini/gemini-2.5-flash,52,2,nlsy97,YES,70.0,True,3
gemini/gemini-2.5-flash,52,3,nlsy97,NO,75.0,True,3
gemini/gemini-2.5-flash,53,1,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,53,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,53,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,54,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,54,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,54,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,55,1,nlsy97,YES,85.0,False,6
gemini/gemini-2.5-flash,55,2,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,55,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,56,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,56,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,56,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,57,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,57,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,57,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,58,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,58,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,58,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,59,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,59,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,59,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,5,1,nlsy97,NO,85.0,False,6
gemini/gemini-2.5-flash,5,2,nlsy97,NO,85.0,False,6
gemini/gemini-2.5-flash,5,3,nlsy97,NO,80.0,False,6
gemini/gemini-2.5-flash,60,1,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,60,2,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,60,3,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,61,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,61,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,61,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,62,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,62,2,nlsy97,NO DECISION,0.0,False,0
