id,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,BILL_AMT1,PAY_AMT1,PAY_AMT2,default_payment_next_month
91,70000,male,graduate school,single,31,on time,on time,47873,6000,5000,0
92,110000,female,graduate school,single,37,2 month(s) late,2 month(s) late,600,0,0,1
93,290000,male,graduate school,single,35,on time,on time,184910,4166,3400,1
94,50000,female,graduate school,single,23,on time,on time,2332,0,0,0
95,500000,male,high school,married,43,on time,on time,57313,4060,5014,0
96,290000,female,university,married,50,on time,on time,272799,10109,10126,0
97,120000,female,university,married,38,on time,on time,50721,1667,1967,0
98,150000,female,university,married,30,1 month(s) late,2 month(s) late,36472,0,5035,1
99,30000,male,university,single,34,on time,on time,390,0,780,0
100,310000,female,university,single,27,on time,on time,44834,2015,2000,0
