model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
openai/gpt-4o-mini,system1,0,1,y_arrestedafter2002,True,YES,85,True,0.5991878509521484,248,16,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:03.518434
openai/gpt-4o-mini,system1,26,1,y_arrestedafter2002,False,NO,75,True,0.40273308753967285,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:04.117899
openai/gpt-4o-mini,system1,13,1,y_arrestedafter2002,False,NO,75,True,0.601250171661377,247,16,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:04.520828
openai/gpt-4o-mini,system1,15,1,y_arrestedafter2002,True,YES,85,True,0.47698307037353516,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:05.122567
openai/gpt-4o-mini,system1,11,1,y_arrestedafter2002,False,YES,75,False,0.4209251403808594,239,16,255,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:05.599931
openai/gpt-4o-mini,system1,17,1,y_arrestedafter2002,False,YES,75,False,0.40874290466308594,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:06.021230
openai/gpt-4o-mini,system1,1,1,y_arrestedafter2002,False,NO,75,True,0.7153098583221436,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:06.430298
openai/gpt-4o-mini,system1,4,1,y_arrestedafter2002,False,YES,75,False,0.6058709621429443,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:07.145903
openai/gpt-4o-mini,system1,5,1,y_arrestedafter2002,True,YES,85,True,0.46591782569885254,242,16,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:07.751982
openai/gpt-4o-mini,system1,2,1,y_arrestedafter2002,False,YES,75,False,0.38321995735168457,235,16,251,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:08.218216
openai/gpt-4o-mini,system1,24,1,y_arrestedafter2002,False,YES,85,False,0.7406611442565918,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:08.601721
openai/gpt-4o-mini,system1,3,1,y_arrestedafter2002,False,YES,75,False,0.5392930507659912,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:09.342874
openai/gpt-4o-mini,system1,23,1,y_arrestedafter2002,False,NO,75,True,0.6803479194641113,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:09.882414
openai/gpt-4o-mini,system1,25,1,y_arrestedafter2002,True,YES,75,True,0.45058774948120117,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:10.563147
openai/gpt-4o-mini,system1,18,1,y_arrestedafter2002,False,YES,85,False,0.5184109210968018,238,16,254,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:11.013980
openai/gpt-4o-mini,system1,28,1,y_arrestedafter2002,True,YES,85,True,0.40044689178466797,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:11.532618
openai/gpt-4o-mini,system1,20,1,y_arrestedafter2002,True,NO,75,False,0.46836209297180176,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:11.933261
openai/gpt-4o-mini,system1,7,1,y_arrestedafter2002,False,YES,75,False,0.4809720516204834,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:12.402034
openai/gpt-4o-mini,system1,10,1,y_arrestedafter2002,False,NO,75,True,0.44339990615844727,242,16,258,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:12.883291
openai/gpt-4o-mini,system1,14,1,y_arrestedafter2002,True,YES,85,True,0.4298670291900635,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:13.326891
openai/gpt-4o-mini,system1,19,1,y_arrestedafter2002,False,YES,85,False,0.43440914154052734,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:13.756908
openai/gpt-4o-mini,system1,6,1,y_arrestedafter2002,False,YES,75,False,0.48688292503356934,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:14.191474
openai/gpt-4o-mini,system1,27,2,y_arrestedafter2002,True,YES,75,True,0.3760535717010498,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:14.679746
openai/gpt-4o-mini,system1,16,2,y_arrestedafter2002,False,YES,75,False,0.4064178466796875,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:15.056652
openai/gpt-4o-mini,system1,12,2,y_arrestedafter2002,False,YES,75,False,0.5537400245666504,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:15.463285
openai/gpt-4o-mini,system1,22,2,y_arrestedafter2002,True,YES,85,True,0.44289398193359375,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:16.017297
openai/gpt-4o-mini,system1,8,2,y_arrestedafter2002,False,YES,85,False,0.4474048614501953,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:16.460454
openai/gpt-4o-mini,system1,9,2,y_arrestedafter2002,False,YES,75,False,0.39267516136169434,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:16.908057
openai/gpt-4o-mini,system1,21,2,y_arrestedafter2002,False,YES,75,False,0.590965986251831,236,16,252,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:17.301030
openai/gpt-4o-mini,system1,0,2,y_arrestedafter2002,True,YES,85,True,0.4131438732147217,248,16,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:17.892377
openai/gpt-4o-mini,system1,26,2,y_arrestedafter2002,False,NO,75,True,0.46560215950012207,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:18.305813
openai/gpt-4o-mini,system1,13,2,y_arrestedafter2002,False,NO,75,True,0.6608870029449463,247,16,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:18.771811
openai/gpt-4o-mini,system1,15,2,y_arrestedafter2002,True,YES,85,True,0.4075758457183838,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:19.433112
openai/gpt-4o-mini,system1,11,2,y_arrestedafter2002,False,YES,75,False,0.45607495307922363,239,16,255,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:19.841571
openai/gpt-4o-mini,system1,17,2,y_arrestedafter2002,False,YES,75,False,0.42661523818969727,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:20.297920
openai/gpt-4o-mini,system1,1,2,y_arrestedafter2002,False,NO,75,True,0.6152172088623047,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:20.724743
openai/gpt-4o-mini,system1,4,2,y_arrestedafter2002,False,YES,75,False,0.4270288944244385,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:21.340154
openai/gpt-4o-mini,system1,5,2,y_arrestedafter2002,True,YES,85,True,0.41051292419433594,242,16,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:21.767613
openai/gpt-4o-mini,system1,2,2,y_arrestedafter2002,False,YES,75,False,0.5130608081817627,235,16,251,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:22.178466
openai/gpt-4o-mini,system1,24,2,y_arrestedafter2002,False,YES,75,False,0.45394086837768555,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:22.691721
openai/gpt-4o-mini,system1,3,2,y_arrestedafter2002,False,YES,75,False,0.4514009952545166,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:23.145836
openai/gpt-4o-mini,system1,23,2,y_arrestedafter2002,False,NO,75,True,0.6095542907714844,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:23.597399
openai/gpt-4o-mini,system1,25,2,y_arrestedafter2002,True,YES,75,True,0.4382059574127197,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:24.207202
openai/gpt-4o-mini,system1,18,2,y_arrestedafter2002,False,YES,75,False,0.5142600536346436,238,16,254,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:24.645950
openai/gpt-4o-mini,system1,28,2,y_arrestedafter2002,True,YES,85,True,0.6075410842895508,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:25.160393
openai/gpt-4o-mini,system1,20,2,y_arrestedafter2002,True,NO,75,False,0.47463274002075195,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:25.768345
openai/gpt-4o-mini,system1,7,2,y_arrestedafter2002,False,NO,75,True,0.5260789394378662,240,16,256,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:26.243294
openai/gpt-4o-mini,system1,10,2,y_arrestedafter2002,False,NO,75,True,0.44035887718200684,242,16,258,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:26.769581
openai/gpt-4o-mini,system1,14,2,y_arrestedafter2002,True,YES,85,True,0.4263479709625244,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:27.210106
openai/gpt-4o-mini,system1,19,2,y_arrestedafter2002,False,YES,85,False,0.4581890106201172,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:27.636943
openai/gpt-4o-mini,system1,6,2,y_arrestedafter2002,False,YES,75,False,0.38794493675231934,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:28.095359
openai/gpt-4o-mini,system1,27,3,y_arrestedafter2002,True,YES,75,True,0.5252161026000977,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:28.484921
openai/gpt-4o-mini,system1,16,3,y_arrestedafter2002,False,YES,75,False,0.46738100051879883,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:29.010312
openai/gpt-4o-mini,system1,12,3,y_arrestedafter2002,False,YES,75,False,0.5295670032501221,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:29.478632
openai/gpt-4o-mini,system1,22,3,y_arrestedafter2002,True,YES,85,True,0.489987850189209,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:30.008430
openai/gpt-4o-mini,system1,8,3,y_arrestedafter2002,False,YES,75,False,0.4162590503692627,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:30.498591
openai/gpt-4o-mini,system1,9,3,y_arrestedafter2002,False,YES,75,False,0.3722991943359375,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:30.915097
openai/gpt-4o-mini,system1,21,3,y_arrestedafter2002,False,YES,75,False,0.47109508514404297,236,16,252,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:31.287594
openai/gpt-4o-mini,system1,0,3,y_arrestedafter2002,True,YES,85,True,0.5632519721984863,248,16,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:31.758846
openai/gpt-4o-mini,system1,26,3,y_arrestedafter2002,False,YES,75,False,0.41346025466918945,237,16,253,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:32.322280
openai/gpt-4o-mini,system1,13,3,y_arrestedafter2002,False,NO,75,True,0.4238903522491455,247,16,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:32.736142
openai/gpt-4o-mini,system1,15,3,y_arrestedafter2002,True,YES,75,True,0.4593331813812256,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:33.160260
openai/gpt-4o-mini,system1,11,3,y_arrestedafter2002,False,YES,75,False,0.5462081432342529,239,16,255,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:33.619929
openai/gpt-4o-mini,system1,17,3,y_arrestedafter2002,False,YES,75,False,0.4164760112762451,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:34.166556
openai/gpt-4o-mini,system1,1,3,y_arrestedafter2002,False,NO,75,True,0.4247250556945801,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:34.583248
openai/gpt-4o-mini,system1,4,3,y_arrestedafter2002,False,YES,75,False,0.4294626712799072,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:35.008212
openai/gpt-4o-mini,system1,5,3,y_arrestedafter2002,True,YES,85,True,0.47916221618652344,242,16,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:35.437860
openai/gpt-4o-mini,system1,2,3,y_arrestedafter2002,False,NO,75,True,0.4308197498321533,235,16,251,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:35.917357
openai/gpt-4o-mini,system1,24,3,y_arrestedafter2002,False,YES,75,False,0.42177891731262207,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:36.348691
openai/gpt-4o-mini,system1,3,3,y_arrestedafter2002,False,YES,75,False,0.4911160469055176,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:36.770809
openai/gpt-4o-mini,system1,23,3,y_arrestedafter2002,False,NO,75,True,0.5745792388916016,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:37.262132
openai/gpt-4o-mini,system1,25,3,y_arrestedafter2002,True,YES,75,True,0.46002197265625,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:37.836902
openai/gpt-4o-mini,system1,18,3,y_arrestedafter2002,False,YES,75,False,0.3812379837036133,238,16,254,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:38.297083
openai/gpt-4o-mini,system1,28,3,y_arrestedafter2002,True,YES,75,True,0.4747128486633301,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:38.679034
openai/gpt-4o-mini,system1,20,3,y_arrestedafter2002,True,NO,75,False,0.39099574089050293,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:39.154420
openai/gpt-4o-mini,system1,7,3,y_arrestedafter2002,False,NO,75,True,0.5290610790252686,240,16,256,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:39.545742
openai/gpt-4o-mini,system1,10,3,y_arrestedafter2002,False,NO,85,True,0.47981691360473633,242,16,258,"{
  ""prediction"": ""NO"",
  ""confidence"": 85
}",,2026-02-09T22:17:40.075091
openai/gpt-4o-mini,system1,14,3,y_arrestedafter2002,True,YES,85,True,0.5141491889953613,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:40.555100
openai/gpt-4o-mini,system1,19,3,y_arrestedafter2002,False,YES,85,False,0.5120680332183838,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:41.069463
openai/gpt-4o-mini,system1,6,3,y_arrestedafter2002,False,YES,75,False,0.592613935470581,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:41.581884
openai/gpt-4o-mini,system1,27,4,y_arrestedafter2002,True,YES,75,True,0.5438351631164551,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:42.176631
openai/gpt-4o-mini,system1,16,4,y_arrestedafter2002,False,YES,75,False,0.3931541442871094,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:42.720668
openai/gpt-4o-mini,system1,12,4,y_arrestedafter2002,False,NO,75,True,0.5120298862457275,245,16,261,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:43.114148
openai/gpt-4o-mini,system1,22,4,y_arrestedafter2002,True,YES,85,True,0.546638011932373,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:43.626785
openai/gpt-4o-mini,system1,8,4,y_arrestedafter2002,False,YES,85,False,0.5812337398529053,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:44.173863
openai/gpt-4o-mini,system1,9,4,y_arrestedafter2002,False,YES,75,False,0.4848949909210205,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:44.755656
openai/gpt-4o-mini,system1,21,4,y_arrestedafter2002,False,YES,75,False,0.641139030456543,236,16,252,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:45.241162
openai/gpt-4o-mini,system1,0,4,y_arrestedafter2002,True,YES,85,True,0.40611910820007324,248,16,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:45.882897
openai/gpt-4o-mini,system1,26,4,y_arrestedafter2002,False,NO,70,True,0.60017991065979,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 70
}",,2026-02-09T22:17:46.289286
openai/gpt-4o-mini,system1,13,4,y_arrestedafter2002,False,NO,75,True,0.4911460876464844,247,16,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:46.889625
openai/gpt-4o-mini,system1,15,4,y_arrestedafter2002,True,YES,85,True,0.38375091552734375,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:47.380918
openai/gpt-4o-mini,system1,11,4,y_arrestedafter2002,False,YES,75,False,0.5051510334014893,239,16,255,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:47.764859
openai/gpt-4o-mini,system1,17,4,y_arrestedafter2002,False,YES,75,False,0.475477933883667,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:48.270201
openai/gpt-4o-mini,system1,1,4,y_arrestedafter2002,False,NO,75,True,0.46402525901794434,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:48.746211
openai/gpt-4o-mini,system1,4,4,y_arrestedafter2002,False,YES,75,False,0.43736720085144043,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:49.210413
openai/gpt-4o-mini,system1,5,4,y_arrestedafter2002,True,YES,85,True,0.6375279426574707,242,16,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:49.647939
openai/gpt-4o-mini,system1,2,4,y_arrestedafter2002,False,YES,75,False,0.5099949836730957,235,16,251,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:50.285621
openai/gpt-4o-mini,system1,24,4,y_arrestedafter2002,False,YES,75,False,0.6084649562835693,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:50.796072
